52096820 12618541 8432424 24.2% 16.2% 12621914 8435590 3.0%  8 17
1935054 18216 10131 0.9% 0.5% 21567 13016 0.1%  9 1
1659545 18545 10258 1.1% 0.6% 21892 13140 0.1%  9 2
1524954 19226 10516 1.3% 0.7% 22575 13398 0.2%  9 3
2258731 20219 11029 0.9% 0.5% 23584 13911 0.1%  9 4
2003973 22428 11981 1.1% 0.6% 25794 14874 0.1%  9 5
1773797 26519 14107 1.5% 0.8% 29882 16999 0.2%  9 6
2407801 34732 18211 1.4% 0.8% 38079 21103 0.1%  9 7
2687400 51138 26419 1.9% 1.0% 54491 29315 0.2%  9 8
2128372 83982 42835 3.9% 2.0% 87347 45728 0.4%  9 9
3298985 149646 75667 4.5% 2.3% 153023 78563 0.4%  9 10
2768539 291178 141331 10.5% 5.1% 294573 144227 1.0%  9 11
4736943 807246 272659 17.0% 5.8% 810651 275559 1.1%  9 12
8149734 1594189 535318 19.6% 6.6% 1597589 538222 1.2%  9 13
14528296 3168072 2112220 21.8% 14.5% 3171445 2115388 2.7%  9 14
27314199 6315848 3689277 23.1% 13.5% 6319223 3692445 2.5%  9 15
52212110 12611402 8416111 24.2% 16.1% 12614772 8419277 3.0%  9 16
102237892 25202508 16821101 24.7% 16.5% 25205873 16824268 3.1%  9 17
1287563 18735 10323 1.5% 0.8% 22105 13205 0.2%  10 1
2259284 19379 10578 0.9% 0.5% 22735 13460 0.1%  10 2
1548238 20448 11092 1.3% 0.7% 23853 13976 0.2%  10 3
1913461 22555 12043 1.2% 0.6% 25937 14937 0.1%  10 4
2179372 26654 14167 1.2% 0.7% 30026 17060 0.1%  10 5
1994984 34847 18267 1.7% 0.9% 38211 21158 0.2%  10 6
3275671 51251 26467 1.6% 0.8% 54626 29361 0.1%  10 7
2515206 84042 42867 3.3% 1.7% 87431 45764 0.3%  10 8
2651496 149647 75667 5.6% 2.9% 153022 78561 0.5%  10 9
3739301 280841 141268 7.5% 3.8% 284236 144163 0.6%  10 10
4275042 563524 272468 13.2% 6.4% 566934 275368 1.2%  10 11
7981881 1595787 534871 20.0% 6.7% 1599169 537774 1.2%  10 12
14019412 3168977 1848227 22.6% 13.2% 3172384 1851405 2.5%  10 13
26512536 6315909 4209507 23.8% 15.9% 6319292 4212675 3.0%  10 14
52274778 12609423 8408051 24.1% 16.1% 12612805 8411219 3.0%  10 15
102997427 25196427 16804848 24.5% 16.3% 25199801 16808015 3.0%  10 16
202828917 50370450 33598447 24.8% 16.6% 50373824 33601613 3.1%  10 17
2110522 19596 10707 0.9% 0.5% 23028 13593 0.1%  11 1
1858601 20706 11218 1.1% 0.6% 24118 14099 0.1%  11 2
2236089 22804 12170 1.0% 0.5% 26183 15065 0.1%  11 3
2133229 26904 14293 1.3% 0.7% 30293 17187 0.1%  11 4
2066713 35103 18391 1.7% 0.9% 38496 21285 0.2%  11 5
2215860 51477 26587 2.3% 1.2% 54854 29480 0.2%  11 6
2002328 84273 42979 4.2% 2.1% 87659 45873 0.4%  11 7
2471196 149828 75763 6.1% 3.1% 153219 78658 0.5%  11 8
3722668 280973 141331 7.5% 3.8% 284356 144227 0.6%  11 9
5308246 543243 272468 10.2% 5.1% 546641 275368 0.9%  11 10
8092581 1108232 534743 13.7% 6.6% 1111613 537644 1.2%  11 11
14880272 3172883 1847462 21.3% 12.4% 3176314 1850659 2.3%  11 12
27776161 6319117 4207795 22.8% 15.1% 6322529 4210974 2.8%  11 13
52615108 12611280 8404123 24.0% 16.0% 12614666 8407293 3.0%  11 14
102948024 25196565 16796899 24.5% 16.3% 25199945 16800066 3.0%  11 15
203345611 50366481 33582319 24.8% 16.5% 50369859 33585485 3.1%  11 16
404642609 100706327 67153136 24.9% 16.6% 100709703 67156302 3.1%  11 17
1636530 21231 11475 1.3% 0.7% 24640 14361 0.1%  12 1
2004895 23324 12426 1.2% 0.6% 26716 15321 0.1%  12 2
1758797 27410 14548 1.6% 0.8% 30800 17442 0.2%  12 3
2229583 35613 18645 1.6% 0.8% 38984 21538 0.2%  12 4
2492288 52002 26839 2.1% 1.1% 55381 29733 0.2%  12 5
2614765 84764 43227 3.2% 1.7% 88138 46120 0.3%  12 6
3052753 150328 76003 4.9% 2.5% 153703 78897 0.4%  12 7
3087391 281425 141555 9.1% 4.6% 284821 144451 0.8%  12 8
5478510 543637 272659 9.9% 5.0% 547022 275554 0.9%  12 9
8257432 1068052 534871 12.9% 6.5% 1071436 537774 1.2%  12 10
14821191 2197654 1847464 14.8% 12.5% 2201091 1850664 2.3%  12 11
26883327 6327057 3682991 23.5% 13.7% 6330473 3686174 2.5%  12 12
52096579 12619025 8402671 24.2% 16.1% 12622437 8405850 3.0%  12 13
102652442 25202965 16793250 24.6% 16.4% 25206346 16796418 3.1%  12 14
202830347 50370834 33574639 24.8% 16.6% 50374210 33577805 3.1%  12 15
405383339 100706578 67137263 24.8% 16.6% 100709956 67140430 3.1%  12 16
807124750 201378080 134262516 25.0% 16.6% 201381460 134265683 3.1%  12 17
1906507 24357 13011 1.3% 0.7% 27767 15896 0.1%  13 1
2432374 28440 15060 1.2% 0.6% 31844 17955 0.1%  13 2
2649917 36636 19156 1.4% 0.7% 40036 22049 0.1%  13 3
2617985 53020 27349 2.0% 1.0% 56423 30243 0.2%  13 4
2181880 85787 43735 3.9% 2.0% 89186 46628 0.4%  13 5
2264996 151327 76507 6.7% 3.4% 154739 79402 0.6%  13 6
3080334 282429 142051 9.2% 4.6% 285847 144943 0.8%  13 7
4961258 544582 273139 11.0% 5.5% 547998 276040 1.0%  13 8
8751887 1068948 535318 12.2% 6.1% 1072349 538222 1.1%  13 9
14641485 2117652 2110377 14.5% 14.4% 2121062 2113555 2.6%  13 10
26824123 4376462 4207790 16.3% 15.7% 4379874 4210969 2.9%  13 11
52398998 12635406 8402671 24.1% 16.0% 12638817 8405849 3.0%  13 12
103534972 25218828 16792299 24.4% 16.2% 25222230 16795477 3.0%  13 13
203807122 50385694 33571567 24.7% 16.5% 50389101 33574750 3.1%  13 14
404518296 100719006 67130108 24.9% 16.6% 100722408 67133283 3.1%  13 15
807781044 201386552 134247165 24.9% 16.6% 201389956 134250342 3.1%  13 16
2435634 30484 16010 1.3% 0.7% 33874 18904 0.1%  14 1
1757463 38680 20107 2.2% 1.1% 42072 22999 0.2%  14 2
2263316 55064 28298 2.4% 1.3% 58441 31188 0.2%  14 3
2560469 87832 44683 3.4% 1.7% 91203 47571 0.3%  14 4
2842643 153367 77453 5.4% 2.7% 156740 80343 0.5%  14 5
3156399 284438 142993 9.0% 4.5% 287833 145884 0.8%  14 6
4729262 546607 274073 11.6% 5.8% 550002 276962 1.1%  14 7
7819034 1070927 536236 13.7% 6.9% 1074303 539134 1.3%  14 8
14358864 2119572 1587929 14.8% 11.1% 2122948 1591099 2.0%  14 9
27575300 4216853 4209517 15.3% 15.3% 4220237 4212685 2.8%  14 10
52173131 8734109 8404131 16.7% 16.1% 8737495 8407298 3.0%  14 11
103198484 25252115 16793254 24.5% 16.3% 25255495 16796421 3.0%  14 12
202964157 50418452 33571488 24.8% 16.5% 50421855 33574663 3.1%  14 13
404122971 100751121 67127974 24.9% 16.6% 100754501 67131142 3.1%  14 14
807377269 201416470 134240940 24.9% 16.6% 201419849 134244109 3.1%  14 15
789985 17040 9695 2.2% 1.2% 19395 11938 0.4%  14 17
1963873 42768 22228 2.2% 1.1% 46161 25121 0.2%  15 1
1976542 59160 30421 3.0% 1.5% 62552 33311 0.3%  15 2
2394603 91929 46804 3.8% 2.0% 95318 49695 0.3%  15 3
2626425 157461 79573 6.0% 3.0% 160847 82461 0.5%  15 4
3779059 288539 145111 7.6% 3.8% 291919 148002 0.7%  15 5
4947286 550689 276187 11.1% 5.6% 554079 279076 1.0%  15 6
9161280 1075001 538355 11.7% 5.9% 1078376 541254 1.0%  15 7
14809254 2123603 1854187 14.3% 12.5% 2126977 1857354 2.3%  15 8
27385765 4220817 3689272 15.4% 13.5% 4224193 3692440 2.5%  15 9
53481787 8415252 8408053 15.7% 15.7% 8418636 8411221 2.9%  15 10
103218551 17449365 16796912 16.9% 16.3% 17452744 16800079 3.0%  15 11
202911212 50485354 33574640 24.9% 16.5% 50488730 33577806 3.1%  15 12
404370113 100817446 67130102 24.9% 16.6% 100820851 67133280 3.1%  15 13
807828255 201481998 134240928 24.9% 16.6% 201485383 134244101 3.1%  15 14
789981 17040 9695 2.2% 1.2% 19395 11938 0.4%  15 16
950365 37693 30294 4.0% 3.2% 40102 32583 0.8%  15 17
2583786 67341 34516 2.6% 1.3% 70718 37408 0.2%  16 1
2025718 100113 50901 4.9% 2.5% 103500 53790 0.5%  16 2
3469897 165659 83668 4.8% 2.4% 169033 86557 0.4%  16 3
3610895 296732 149205 8.2% 4.1% 300127 152095 0.7%  16 4
5290433 558878 280279 10.6% 5.3% 562269 283167 0.9%  16 5
8925125 1083167 542453 12.1% 6.1% 1086542 545352 1.1%  16 6
14576130 2131757 2114081 14.6% 14.5% 2135128 2117245 2.7%  16 7
27041392 4228942 4221682 15.6% 15.6% 4232320 4224850 2.9%  16 8
52275910 8423313 8416111 16.1% 16.1% 8426689 8419277 3.0%  16 9
103006300 16812054 16804849 16.3% 16.3% 16815427 16808014 3.0%  16 10
204404836 34879957 33582317 17.1% 16.4% 34883335 33585483 3.1%  16 11
404598174 100952223 67137251 25.0% 16.6% 100955606 67140422 3.1%  16 12
808110937 201615645 134247164 24.9% 16.6% 201619051 134250341 3.1%  16 13
789981 17040 9695 2.2% 1.2% 19395 11938 0.4%  16 15
1337417 35354 27048 2.6% 2.0% 37765 29339 0.4%  16 16
1077551 43546 35240 4.0% 3.3% 45957 37531 0.7%  16 17
3595319 116495 59092 3.2% 1.6% 119868 61983 0.3%  17 1
