5.1e-05 828009 17022 9725 2.1% 1.2% 19849 12266 0.4%  7 4
9.8e-05 866965 17521 9983 2.0% 1.2% 20347 12524 0.4%  7 5
0.00019 945114 18946 10499 2.0% 1.1% 21814 13046 0.4%  7 6
0.000433 1100954 21010 11470 1.9% 1.0% 23861 14022 0.3%  7 7
0.000774 1413093 25134 13597 1.8% 1.0% 27998 16150 0.3%  7 8
0.001551 2037220 33393 17725 1.6% 0.9% 36256 20278 0.3%  7 9
0.003067 3285498 49907 25981 1.5% 0.8% 52783 28533 0.3%  7 10
0.006219 5782040 85138 42493 1.5% 0.7% 88012 45045 0.3%  7 11
0.012129 10775069 214249 75517 2.0% 0.7% 217123 78069 0.3%  7 12
0.025578 20761309 411371 141565 2.0% 0.7% 414273 144126 0.3%  7 13
0.050546 40733535 805608 273599 2.0% 0.7% 808481 276157 0.3%  7 14
0.109833 80677724 1594088 537873 2.0% 0.7% 1596961 540431 0.2%  7 15
3.3e-05 801117 16787 9548 2.1% 1.2% 19620 12091 0.4%  8 1
2.8e-05 810966 16872 9613 2.1% 1.2% 19712 12159 0.4%  8 2
5.1e-05 830383 17035 9740 2.1% 1.2% 19872 12284 0.4%  8 3
9.9e-05 869377 17592 9997 2.0% 1.1% 20428 12539 0.4%  8 4
0.000213 947421 18973 10511 2.0% 1.1% 21850 13058 0.4%  8 5
0.000391 1103047 21024 11478 1.9% 1.0% 23888 14031 0.3%  8 6
0.00076 1414750 25133 13597 1.8% 1.0% 27994 16150 0.3%  8 7
0.001583 2038198 33360 17709 1.6% 0.9% 36225 20265 0.3%  8 8
0.003299 3284897 49806 25933 1.5% 0.8% 52661 28485 0.3%  8 9
0.0065 5778396 82705 42381 1.4% 0.7% 85581 44936 0.3%  8 10
0.012869 10765285 152992 75277 1.4% 0.7% 155865 77832 0.3%  8 11
0.024867 20739156 411127 141069 2.0% 0.7% 414009 143628 0.3%  8 12
0.050618 40686972 804857 272653 2.0% 0.7% 807759 275220 0.2%  8 13
0.104144 80581927 1592310 535759 2.0% 0.7% 1595180 538318 0.2%  8 14
0.210177 160372028 3167222 2115569 2.0% 1.3% 3170096 2118276 0.5%  8 15
3.6e-05 815809 16913 9644 2.1% 1.2% 19753 12190 0.4%  9 1
5.6e-05 835221 17085 9773 2.0% 1.2% 19914 12314 0.4%  9 2
0.000101 874167 17749 10028 2.0% 1.1% 20586 12572 0.4%  9 3
0.000193 952066 19032 10541 2.0% 1.1% 21905 13086 0.4%  9 4
0.000529 1107741 21086 11506 1.9% 1.0% 23951 14059 0.3%  9 5
0.000751 1419221 25186 13621 1.8% 1.0% 28050 16174 0.3%  9 6
0.001521 2042207 33391 17725 1.6% 0.9% 36253 20278 0.3%  9 7
0.003313 3288238 49807 25933 1.5% 0.8% 52671 28488 0.3%  9 8
0.006287 5780150 82640 42349 1.4% 0.7% 85502 44903 0.3%  9 9
0.012425 10763988 148306 75181 1.4% 0.7% 151182 77736 0.3%  9 10
0.024585 20731737 288673 140845 1.4% 0.7% 291555 143404 0.3%  9 11
0.05132 40667167 804888 272173 2.0% 0.7% 807767 274735 0.2%  9 12
0.10505 80537708 1591834 534829 2.0% 0.7% 1594733 537394 0.2%  9 13
0.209023 160278567 3165721 2111474 2.0% 1.3% 3168592 2114181 0.5%  9 14
0.419173 319760395 6313497 4212785 2.0% 1.3% 6316359 4215488 0.5%  9 15
6.7e-05 844981 17180 9836 2.0% 1.2% 20030 12377 0.4%  10 1
0.000108 883919 18005 10093 2.0% 1.1% 20863 12637 0.4%  10 2
0.000195 961867 19157 10604 2.0% 1.1% 22053 13152 0.4%  10 3
0.000379 1117406 21212 11568 1.9% 1.0% 24097 14122 0.3%  10 4
0.000767 1428798 25312 13681 1.8% 1.0% 28194 16235 0.3%  10 5
0.001504 2051592 33507 17781 1.6% 0.9% 36393 20335 0.3%  10 6
0.003276 3297150 49905 25981 1.5% 0.8% 52787 28533 0.3%  10 7
0.006165 5788386 82705 42381 1.4% 0.7% 85589 44936 0.3%  10 8
0.012122 10770658 148306 75181 1.4% 0.7% 151190 77736 0.3%  10 9
0.024249 20735350 279505 140780 1.3% 0.7% 282395 143339 0.3%  10 10
0.050296 40664650 560002 271980 1.4% 0.7% 562886 274542 0.2%  10 11
0.102258 80522831 1592409 534380 2.0% 0.7% 1595293 536942 0.2%  10 12
